"filename", "language", "C#", "JavaScript", "Markdown", "CSS", "JSON", "XML", "Razor", "Properties", "comment", "blank", "total"
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\bin\Release\net8.0\tailwind.extension.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\libman.json", "JSON", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\SoftWhatsAppCRMDash.AssemblyInfo.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 0, 10, 5, 25
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\SoftWhatsAppCRMDash.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 0, 79, 0, 21, 100
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\SoftWhatsAppCRMDash.GlobalUsings.g.cs", "C#", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\SoftWhatsAppCRMDash.RazorAssemblyInfo.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 10, 5, 19
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\scopedcss\Views\Shared\_Layout.cshtml.rz.scp.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 2, 9, 49
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\scopedcss\bundle\SoftWhatsAppCRMDash.styles.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 3, 9, 50
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\scopedcss\projectbundle\SoftWhatsAppCRMDash.bundle.scp.css", "CSS", 0, 0, 0, 38, 0, 0, 0, 0, 3, 9, 50
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, 41003, 0, 0, 0, 0, 0, 41003
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets.development.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets.pack.json", "JSON", 0, 0, 0, 0, 8645, 0, 0, 0, 0, 0, 8645
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets\msbuild.SoftWhatsAppCRMDash.Microsoft.AspNetCore.StaticWebAssets.props", "XML", 0, 0, 0, 0, 0, 34500, 0, 0, 0, 0, 34500
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets\msbuild.build.SoftWhatsAppCRMDash.props", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets\msbuild.buildMultiTargeting.SoftWhatsAppCRMDash.props", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Debug\net8.0\staticwebassets\msbuild.buildTransitive.SoftWhatsAppCRMDash.props", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\SoftWhatsAppCRMDash.deps.json", "JSON", 0, 0, 0, 0, 636, 0, 0, 0, 0, 0, 636
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\SoftWhatsAppCRMDash.runtimeconfig.json", "JSON", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"c:\Users\MSI SWORD 15 A12V\source\repos\SoftWhatsAppCRMDash\SoftWhatsAppCRMDash\obj\Release\net8.0\PubTmp\Out\appsettings.Development.json", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
